source_code,source_id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answers,explanation,explanation_url,flags,metadata
pe-07,006,You have migrated your application to AWS recently. How can you view the AWS costs applied to your account?,Using the AWS Cost & Usage Report.,Using the AWS Total Cost of Ownership (TCO) dashboard.,Using the AWS CloudWatch logs dashboard.,Using the Amazon VPC dashboard.,,['a'],,,,
pe-07,007,Which of the following are valid Amazon EC2 Reserved Instance types? (Choose TWO),Convertible.,Expedited.,Bulk.,Spot.,Standard.,"['a', 'e']",,,,
pe-07,008,Which of the following services gives you access to all AWS auditor-issued reports and certifications?,AWS Artifact.,AWS Config.,Amazon CloudWatch.,AWS CloudTrail.,,['a'],,,,
pe-07,009,"You manage a blog on AWS that has different environments: development, testing, and production. What can you use to create a custom console for each environment to view and manage your resources easily?",AWS Resource Groups.,AWS Placement Groups.,AWS Management Console.,AWS Tag Editor.,,['a'],,,,
pe-07,010,Which AWS service collects metrics from running EC2 instances?,Amazon Inspector.,Amazon CloudWatch.,AWS CloudFormation.,AWS CloudTrail.,,['b'],,,,
pe-07,011,Your web application currently faces performance issues and suffers from long load times. Which of the following AWS services could help fix these issues and improve performance?,Amazon Detective.,AWS X-Ray.,AWS Security Hub.,AWS Shield.,,['b'],,,,
pe-07,012,Which of the following compute resources are serverless? (Choose TWO),Amazon EC2.,AWS Fargate.,AWS Lambda.,Amazon ECS.,Amazon EMR.,"['b', 'c']",,,,
pe-07,013,"For compliance and regulatory purposes, a government agency requires that their applications must run on hardware that is dedicated to them only. How can you meet this requirement?",Use EC2 Dedicated Hosts.,Use EC2 Reserved Instances.,Use EC2 Spot Instances.,Use EC2 On-demand Instances.,,['a'],,,,
pe-07,014,Which AWS Cost Governance best practice recommends refining workloads regularly to make the most of existing AWS resources and reduce costs?,Tagging Enforcement.,Architecture Optimization.,Budgeting Processes.,Resource Controls.,,['b'],,,,
pe-07,015,An organization needs to build a financial application that requires support for ACID transactions. Which AWS database service is most appropriate in this case?,RedShift.,RDS.,CloudHSM.,DMS.,,['b'],,,,
pe-07,016,What can you use to assign permissions directly to an IAM user?,IAM Identity.,IAM Group.,IAM Role.,IAM Policy.,,['d'],,,,
pe-07,017,The owner of an E-Commerce application notices that the compute capacity requirements vary heavily from time to time. What makes AWS more economical than traditional data centers for this type of application?,AWS allows customers to launch powerful EC2 instances to handle spikes in load.,AWS allows customers to pay upfront to get bigger discounts.,AWS allows customers to launch and terminate EC2 instances based on demand.,AWS allows customers to choose cheaper types of EC2 instances that best fit their needs.,,['c'],,,,
pe-07,018,Amazon RDS supports multiple database engines to choose from. Which of the following is not one of them?,PostgreSQL.,Oracle.,Microsoft SQL Server.,Teradata.,,['d'],,,,
pe-07,019,Which of the following AWS services would help you migrate on-premise databases to AWS?,AWS DMS.,Amazon S3 Transfer Acceleration.,AWS Directory Service.,AWS Transit Gateway.,,['a'],,,,
pe-07,020,"For new AWS customers, what is the EASIEST way to launch a simple WordPress website on AWS?",Run WordPress on an Amazon Lightsail instance.,Install WordPress on an Amazon EC2 instance.,Use the Amazon S3 Web hosting feature.,Host the website directly on AWS Cloud Development Kit (AWS CDK).,,['a'],,,,
pe-07,021,Which of the following would you use to manage your encryption keys in the AWS Cloud? (Choose TWO),AWS KMS.,AWS Certificate Manager.,AWS CodeDeploy.,AWS CodeCommit.,CloudHSM.,"['a', 'e']",,,,
pe-07,022,Which of the following services allows you to install and run custom relational database software?,Amazon EC2.,Amazon Cognito.,Amazon RDS.,Amazon Inspector.,,['a'],,,,
pe-07,023,Your application requirements for CPU and RAM are changing in an unpredictable way. Which service can be used to dynamically adjust these resources based on load?,Auto Scaling.,ELB.,Amazon Route53.,Amazon Elastic Container Service.,,['a'],,,,
pe-07,024,"A company has infrastructure hosted in an on-premises data center. They currently have an operations team that takes care of identity management. If they decide to migrate to the AWS cloud, which of the following services would help them perform the same role in AWS?",AWS IAM.,AWS Outposts.,AWS Federation.,Amazon Redshift.,,['a'],,,,
pe-07,025,What are some key design principles for designing public cloud systems? (Choose TWO),Reserved capacity instead of on demand.,Loose coupling over tight coupling.,Servers instead of managed services.,Disposable resources instead of fixed servers.,Multi-AZ deployments instead of multi-region deployments.,"['b', 'd']",,,,
pe-07,026,"Where can AWS account owners get a list of all users in their account, including the status of their AWS credentials?",AWS CloudTrail Trails.,IAM Credential Report.,AWS Artifact reports.,AWS Cost and Usage Report.,,['b'],,,,
pe-07,027,Which of the following services enables you to easily generate and use your own encryption keys in the AWS Cloud?,AWS Shield.,AWS Certificate Manager.,AWS CloudHSM.,AWS WAF.,,['c'],,,,
pe-07,028,You have developed a web application targeting a global audience. Which of the following will help you achieve the highest redundancy and fault tolerance from an infrastructure perspective?,"There is no need to architect for these capabilities in AWS, as AWS is redundant by default.",Deploy the application in a single Availability Zone.,Deploy the application in multiple Availability Zones in a single AWS region.,Deploy the application in multiple Availability Zones in multiple AWS regions.,,['d'],,,,
pe-07,029,"For some services, AWS automatically replicates data across multiple Availability Zones to provide fault tolerance in the event of a server failure or Availability Zone outage. Select TWO services that automatically replicate data across Availability Zones.",Instance Store.,S3.,DynamoDB.,Amazon Route 53.,AWS VPN.,"['b', 'c']",,,,
pe-07,030,Which of the following factors affect Amazon CloudFront cost? (Choose TWO),Number of Requests.,Traffic Distribution.,Number of Volumes.,Instance type.,Storage Class.,"['a', 'b']",,,,
pe-07,031,Which of the following resources can an AWS customer use to learn more about prohibited uses of the services offered by AWS?,AWS Service Control Policies (SCPs).,AWS Artifact.,AWS Budgets.,AWS Acceptable Use Policy.,,['d'],,,,
pe-07,032,Which of the following security resources are available to any user for free? (Choose TWO),AWS Bulletins.,AWS TAM.,AWS Support APl.,AWS Security Blog.,AWS Classroom Training.,"['a', 'd']",,,,
pe-07,033,How can you protect data stored on Amazon S3 from accidental deletion?,By enabling S3 Versioning.,By configuring S3 Bucket Policies.,By configuring S3 Lifecycle Policies.,By disabling S3 Cross-Region Replication (CRR).,,['a'],,,,
pe-07,034,Which of the following is the responsibility of AWS according to the AWS Shared Responsibility Model?,Securing regions and edge locations.,Performing auditing tasks.,Monitoring AWS resources usage.,Securing access to AWS resources.,,['a'],,,,
pe-07,035,Which of the following AWS support plans provides access to only the seven core AWS Trusted Advisor checks?,Business & Enterprise Support.,Basic & Developer Support.,Developer & Enterprise Support.,Developer & Business Support.,,['b'],,,,
pe-07,036,Which of the following is NOT a benefit of using AWS Lambda?,AWS Lambda runs code without provisioning or managing servers.,AWS Lambda provides resizable compute capacity in the cloud.,There is no charge when your AWS Lambda code is not running.,AWS Lambda can be called directly from any mobile app.,,['d'],,,,
pe-07,037,How does AWS help customers achieve compliance in the cloud?,It's not possible to meet regulatory compliance requirements in the Cloud.,"AWS applies the most common Cloud security standards, and is responsible for complying with customers’ applicable laws and regulations.",AWS has many common assurance certifications such as ISO 9001 and HIPAA.,Many AWS services are assessed regularly to comply with local laws and regulations.,,['c'],,,,
pe-07,038,Who is responsible for scaling a DynamoDB database in the AWS Shared Responsibility Model?,Your security team.,Your development team.,AWS.,Your internal DevOps team.,,['c'],,,,
pe-07,039,You are working as a web app developer. You are currently facing issues in media playback for mobile devices because your media format is not supported. Which of the following AWS services can help you convert your media into another format?,Amazon Elastic Transcoder.,Amazon Pinpoint.,AmazonS3.,Amazon Rekognition.,,['a'],,,,
pe-07,040,What are the benefits of the AWS Organizations service? (Choose TWO),Control access to AWS services.,Help organizations design and maintain an accelerated path to successful cloud adoption.,Manage your organization’s payment methods.,Help organization achieve their desired business outcomes with AWS.,Consolidate billing across multiple AWS accounts.,"['a', 'e']",,,,
pe-07,041,Which AWS service allows you to build a data warehouse in the cloud?,AWS Shield.,Amazon Redshift.,Amazon RDS.,Amazon Comprehend.,,['b'],,,,
pe-07,042,What AWS service allows you to buy third-party software solutions and services that run on AWS resources?,AWS Application Discovery service.,Amazon DevPay.,AWS Marketplace.,Resource Groups.,,['c'],,,,
pe-07,043,"Which of the following services is an AWS repository management system that allows for storing, versioning, and managing your application code?",AWS CodePipeline.,AWS CodeCommit.,AWS X-Ray.,Amazon Inspector.,,['b'],,,,
pe-07,044,Which AWS service can be used to route end users to the nearest AWS Region to reduce latency?,Amazon Cognito.,AWS Systems Manager.,AWS Cloud9.,Amazon Route 53.,,['d'],,,,
pe-07,045,Which feature enables users to sign into their AWS accounts with their existing corporate credentials?,Federation.,Access keys.,IAM Permissions.,WAF rules.,,['a'],,,,
pe-07,046,"According to the AWS shared responsibility model, what are the controls that customers fully inherit from AWS? (Choose TWO)",Awareness and Training.,Communications controls.,Data center security controls.,Environmental controls.,Resource Configuration Management.,"['c', 'd']",,,,
pe-07,047,What can you access by visiting the URL: <http://status.aws.amazon.com>?,AWS Billing Dashboard.,AWS Cost Dashboard.,AWS Service Health Dashboard.,AWS Security Dashboard.,,['c'],,,,
pe-07,048,Which of the following procedures can reduce latency when your end users are retrieving data? (Choose TWO),Store media assets in the region closest to your end users.,Store media assets on an additional EBS volume and increase the capacity of your server.,Replicate media assets to at least two availability zones.,Reduce the size of media assets using the Amazon Elastic Transcoder.,Store media assets in S3 and use CloudFront to distribute these assets.,"['a', 'e']",,,,
pe-07,049,Which of the following are part of the seven design principles for security in the cloud? (Choose TWO),Use manual monitoring techniques to protect your AWS resources.,Use IAM roles to grant temporary access instead of long-term credentials.,Scale horizontally to protect from failures.,Enable real-time traceability.,Never store sensitive data in the cloud.,"['b', 'd']",,,,
pe-07,050,"A company is migrating production workloads to AWS, and they are concerned about cost management across different departments. Which option should the company implement to categorize and track AWS spending?",Use the AWS Pricing Calculator service to monitor the costs incurred by each department.,Use Amazon Aurora to forecast AWS spending based on usage.,Apply cost allocation tags to segment AWS costs by different e projects and departments.,Configure AWS Price List API to receive billing updates for each department automatically.,,['c'],,,,
pe-08,001,What is the main benefit of attaching security groups to an Amazon RDS instance?,Manages user access and encryption keys.,Controls what IP address ranges can connect to your database instance.,Deploys SSL/TLS certificates for use with your database instance.,Distributes incoming traffic across multiple targets.,,['b'],,,,
pe-08,002,"A company wants to use Amazon Elastic Container Service (Amazon ECS) to run its containerized applications. For compliance reasons, the company wants to retain complete visibility and control over the underlying server cluster. Which Amazon ECS launch type will satisfy these requirements?",EC2 launch type.,Fargate launch type.,Lightsail launch type.,Lambda launch type.,,['a'],,,,
pe-08,003,You have multiple standalone AWS accounts and you want to decrease your AWS monthly charges. What should you do?,Try to remove unnecessary AWS accounts.,Add the accounts to an AWS Organization and use Consolidated Billing.,Track the AWS charges that are incurred by the member accounts.,Enable AWS tiered-pricing before provisioning resources.,,['b'],,,,
pe-08,004,"You have been tasked with auditing the security of your VPC. As part of this process, you need to start by analyzing what inbound and outbound traffic is allowed on your EC2 instances. What two parts of the VPC do you need to check to accomplish this task?",Network ACLs and Traffic Manager.,Network ACLs and Subnets.,Security Groups and Internet Gateways.,Security Groups and Network ACLs.,,['d'],,,,
pe-08,005,"What does the AWS ""Business"" support plan provide? (Choose TWO)",Access to the full set of Trusted Advisor checks.,Support Concierge Service.,Less than 15 minutes response-time support if your business critical system goes down.,AWS Support API.,Proactive Technical Account Management.,"['a', 'd']",,,,
pe-08,006,You have just finished writing your application code. Which service can be used to automate the deployment and scaling of your application?,Amazon Simple Storage Service.,AWS Elastic Beanstalk.,AWS CodeCommit.,Amazon Elastic File System.,,['b'],,,,
pe-08,007,Which statement is true in relation to security in AWS?,AWS manages everything related to EC2 operating systems.,AWS customers are responsible for patching any database software running on Amazon EC2.,Server side encryption is the responsibility of AWS.,AWS is responsible for the security of your application.,,['b'],,,,
pe-08,008,"Amazon EC2 instances are conceptually very similar to traditional servers. However, using Amazon EC2 server instances in the same manner as traditional hardware server instances is only a starting point. What are the main benefits of using the AWS EC2 instances instead of traditional servers? (Choose TWO)",Improves Fault-Tolerance.,Provides your business with a seamless remote accessibility.,Prevents unauthorized users from getting into your network.,Provides automatic data backups.,Can be scaled manually in a shorter period of time.,"['a', 'e']",,,,
pe-08,009,Which statement is true regarding AWS pricing? (Choose TWO),"With the AWS pay-as-you-go pricing model, you don't have to pay any upfront fee.",You have no responsibility for third-party software license costs.,You only pay for the individual services that you need with no long-term contracts.,"For some services, you have to pay a startup fee in order to get the service running.","There are no reservations on AWS, you only pay for what you use.","['a', 'c']",,,,
pe-08,010,"Which AWS service provides the EASIEST way to set up and manage a secure, well-architected, multi-account AWS environment?",AWS Control Tower.,Amazon Macie.,AWS Systems Manager Patch Manager.,AWS Security Hub.,,['a'],,,,
pe-08,011,A company is running a large web application that needs to always be available. The application tends to slow down when CPU usage is greater than 60%. How can they track when CPU usage goes above 60% for any of the EC2 Instances in their account?,Use CloudFront to monitor the CPU usage.,Set the AWS Config CPU threshold to 60% to receive a notification when EC2 usage exceeds that value.,Use CloudWatch Alarms to monitor the CPU and alert when the CPU usage is >= 60%.,Use SNS to monitor the utilization of the server.,,['c'],,,,
pe-08,012,What is the recommended storage option when hosting an often-changing database on an Amazon EC2 instance?,Amazon EBS.,Amazon RDS.,You can't run a database inside an Amazon EC2 instance.,Amazon DynamoDB.,,['a'],,,,
pe-08,013,"You are working as a site reliability engineer (SRE) in an AWS environment, which of the following services helps monitor your applications?",Amazon CloudWatch.,Amazon CloudSearch.,Amazon Elastic MapReduce.,Amazon CloudHSM.,,['a'],,,,
pe-08,014,What factors determine how you are charged when using AWS Lambda? (Choose TWO),Storage consumed.,Number of requests to your functions.,Number of volumes.,Placement groups.,Compute time consumed.,"['b', 'e']",,,,
pe-08,015,What are the main differences between an IAM user and an IAM role in AWS? (Choose TWO),"An IAM user is uniquely associated with only one person, however a role is intended to be assumable by anyone who needs it.","An IAM user has permanent credentials associated with it, however a role has temporary credentials associated with it.",IAM users are more cost effective than IAM roles.,"A role is uniquely associated with only one person, however an IAM user is intended to be assumable by anyone who needs it.","An IAM user has temporary credentials associated with it, however a role has permanent credentials associated with it.","['a', 'b']",,,,
pe-08,016,Which of the following actions may reduce Amazon EBS costs? (Choose TWO),Deleting unused buckets.,Using reservations.,Deleting unnecessary snapshots.,Changing the type of the volume.,Distributing requests to multiple volumes.,"['c', 'd']",,,,
pe-08,017,What does Amazon GuardDuty do to protect AWS accounts and workloads?,Notifies AWS customers about abuse events once they are reported.,Continuously monitors AWS infrastructure and helps detect threats such as attacker reconnaissance or account compromise.,Helps AWS customers identify the root cause of potential security issues.,Checks security groups for rules that allow unrestricted access to AWS. resources.,,['b'],,,,
pe-08,018,"Which database service should you use if your application and data schema require ""joins"" or complex transactions?",Amazon RDS.,AWS Outposts.,Amazon DocumentDB.,Amazon DynamoDB.,,['a'],,,,
pe-08,019,"Which of the following makes it easier for you to categorize, manage and filter your resources?",Amazon CloudWatch.,AWS Service Catalog.,AWS Directory Service.,AWS Tagging.,,['d'],,,,
pe-08,020,What should you consider when storing data in Amazon Glacier?,Amazon Glacier only accepts data in a compressed format.,Glacier can only be used to store frequently accessed data and data archives.,Amazon Glacier does not provide immediate retrieval of data.,Attach Glacier to an EC2 Instance to be able to store data.,,['c'],,,,
pe-08,021,Engineers are wasting a lot of time and effort managing batch computing software in traditional data centers. Which of the following AWS services allows them to easily run thousands of batch computing jobs?,Amazon EC2.,AWS Batch.,Lambda@Edge.,AWS Fargate.,,['b'],,,,
pe-08,022,How can you increase your application’s fault-tolerance while it is being hosted in AWS?,Deploy your application across multiple EC2 instances.,Deploy your application across multiple Availability Zones.,Host your application on one powerful EC2 instance type instead of multiple smaller instances.,Deploy the underlying application resources across multiple subnets.,,['b'],,,,
pe-08,023,Which of the following AWS Support Plans gives you 24/7 access to Cloud Support Engineers via email & phone? (Choose TWO),Developer.,Premium.,Enterprise.,Standard.,Business.,"['c', 'e']",,,,
pe-08,024,Which of the following requires an access key ID and a secret access key to get long-lived programmatic access to AWS resources? (Choose TWO),IAM group.,IAM user.,IAM role.,AWS account root user.,TAM.,"['b', 'd']",,,,
pe-08,025,"Which of the following is a benefit of the ""Loose Coupling"" architecture principle?",It eliminates the need for change management.,It allows for Cross-Region Replication.,It helps AWS customers reduce Privileged Access to AWS resources.,It allows individual application components or services to be modified without affecting other components.,,['d'],,,,
pe-08,026,A company needs to host a big data application on AWS using EC2 instances. Which of the following AWS Storage services would they choose to automatically get high throughput to multiple compute nodes?,Amazon Elastic Block Store.,AWS Storage Gateway.,Amazon Elastic File System.,S3.,,['c'],,,,
pe-08,027,Which of the following Cloud Computing deployment models eliminates the need to run and maintain physical data centers?,On-premises.,IaaS.,PaaS.,Cloud.,,['d'],,,,
pe-08,028,What are the benefits of the AWS Marketplace service? (Choose TWO),Protects customers by performing periodic security checks on listed products.,Per-second billing.,Provides cheaper options for purchasing Amazon EC2 on-demand instances.,Provides flexible pricing options that suit most customer needs.,Provides software solutions that run on AWS or any other Cloud vendor.,"['d', 'e']",,,,
pe-08,029,What is the benefit of Amazon EBS volumes being automatically replicated within the same availability zone?,Elasticity.,Durability.,Traceability.,Accessibility.,,['b'],,,,
pe-08,030,"You are planning to launch an advertising campaign over the coming weekend to promote a new digital product. It is expected that there will be heavy spikes in load during the campaign period, and you can’t afford any downtime. You need additional compute resources to handle the additional load. What is the most cost-effective EC2 instance purchasing option for this job?",Savings Plans.,Spot Instances.,Reserved Instances.,On-Demand Instances.,,['d'],,,,
pe-08,031,Which of the following AWS services integrates with AWS Shield and AWS Web Application Firewall (AWS WAF) to protect against network and application layer DDoS attacks?,Amazon EFS.,AWS Secrets Manager.,AWS Systems Manager.,Amazon CloudFront.,,['d'],,,,
pe-08,032,Which of the following services is used when encrypting EBS volumes?,AWS WAF.,AWS KMS.,Amazon Macie.,Amazon GuardDuty.,,['b'],,,,
pe-08,033,"The AWS account administrator of your company has been fired. With the permissions granted to him as an administrator, he was able to create multiple IAM user accounts and access keys. Additionally, you are not sure whether he has access to the AWS root account or not. What should you do immediately to protect your AWS infrastructure? (Choose TWO)",Download all the attached policies in a safe place.,Delete all IAM accounts and recreate them.,Use the CloudWatch service to check all API calls that have been made in your account since the administrator was fired.,Rotate all access keys.,Change the email address and password of the root user account and enable MFA.,"['d', 'e']",,,,
pe-08,034,What is the Amazon ElastiCache service used for? (Choose TWO),Provide an in-memory data storage service.,Reduce delivery costs using Edge Locations.,Improve web application performance.,Provide a Chef-compatible cache to speed up application response.,Distribute requests to multiple instances.,"['a', 'c']",,,,
pe-08,035,The elasticity of the AWS Cloud enables customers to save costs when compared to traditional hosting providers. What can AWS customers do to benefit from the elasticity of the AWS Cloud? (Choose TWO),Deploy your resources across multiple Availability Zones.,Use Amazon EC2 Auto Scaling.,Deploy your resources in another region.,Use Elastic Load Balancing.,Use Serverless Computing whenever possible.,"['b', 'e']",,,,
pe-08,036,What are some of the benefits of using On-Demand EC2 instances? (Choose TWO),They provide free capacity when testing your new applications.,They are cheaper than all other EC2 options.,They remove the need to buy “safety net” capacity to handle periodic traffic spikes.,They only require 1-2 days for setup and configuration.,You can increase or decrease your compute capacity depending on the demands of your application.,"['c', 'e']",,,,
pe-08,037,Each AWS Region is composed of multiple Availability Zones. Which of the following best describes what an Availability Zone is?,It is a data center designed to be completely isolated from other data centers in the same region.,It is a collection of data centers distributed in multiple countries.,It is a logically isolated network of the AWS Cloud.,It is a distinct location within a region that is insulated from « failures in other Availability Zones.,,['d'],,,,
pe-08,038,AWS provides disaster recovery capability by allowing customers to deploy infrastructure into multiple [...].,Regions.,Transportation devices.,Support plans.,Edge locations.,,['a'],,,,
pe-08,039,"A financial services company decides to migrate one of its applications to AWS. The application deals with sensitive data, such as credit card information, and must run on a PCI-compliant environment. Which of the following is the company’s responsibility when building a PCI-compliant environment in AWS? (Choose TWO)",Start the migration process immediately as all AWS services are PCI compliant.,Ensure that AWS services are configured properly to meet all PCI DSS standards.,Restrict any access to cardholder data and create a policy that addresses information security for all personnel.,Configure the underlying infrastructure of AWS services to meet all PCI DSS requirements.,Ensure that all PCI DSS physical security requirements are met.,"['b', 'c']",,,,
pe-08,040,What is the maximum amount of data that can be stored in S3 in a single AWS account?,100 PetaBytes.,Virtually unlimited storage.,5TeraBytes.,10 Exabytes.,,['b'],,,,
pe-08,041,Which pillar of the AWS Well-Architected Framework provides recommendations to help customers select the right compute resources based on workload requirements?,Operational Excellence.,Security.,Performance Efficiency.,Reliability.,,['c'],,,,
pe-08,042,"Which AWS service delivers data, videos, applications, and APIs to users globally with low latency and high transfer speeds?",Amazon Route 53.,Amazon Connect.,Amazon CloudFront.,Amazon EC2.,,['c'],,,,
pe-08,043,Which of the following steps should be taken by a customer when conducting penetration testing on AWS?,"Conduct penetration testing using Amazon Inspector, and then notify AWS support.","Request and wait for approval from the customer’s internal security team, and then conduct testing.","Notify AWS support, and then conduct testing immediately.","Request and wait for approval from AWS support, and then conduct testing.",,['d'],,,,
pe-08,044,Which AWS Cost Management tool allows you to view the most granular data about your AWS bill?,AWS Cost Explorer.,AWS Budgets.,AWS Cost and Usage report.,AWS Billing dashboard.,,['c'],,,,
pe-08,045,Which element of the AWS global infrastructure consists of one or more discrete data centers each with redundant power networking and connectivity which are housed in separate facilities?,AWS Regions.,Availability Zones.,Edge locations.,Amazon CloudFront.,,['b'],,,,
pe-08,046,How many Availability Zones should compute resources be provisioned across to achieve high availability?,A minimum of one.,A minimum of two.,A minimum of three.,A minimum of four or more.,,['b'],,,,
pe-08,047,The AWS Cloud’s multiple Regions are an example of:,Agility.,Global infrastructure.,Elasticity.,Pay-as-you-go pricing.,,['b'],,,,
pe-08,048,Which AWS service can be used to manually launch instances based on resource requirements?,Amazon EBS.,Amazon S3.,Amazon EC2.,Amazon ECS.,,['c'],,,,
pe-08,049,Which is a recommended pattern for designing a highly available architecture on AWS?,Ensure that components have low-latency network connectivity.,Run enough Amazon EC2 instances to operate at peak load.,Ensure that the application is designed to accommodate failure of any single component.,Use a monolithic application that handles all operations.,,['c'],,,,
pe-08,050,Which AWS characteristics make AWS cost effective for a workload with dynamic user demand? (Select TWO),High availability.,Shared security model.,Elasticity.,Pay-as-you-go pricing.,Reliability.,"['c', 'd']",,,,
pe-09,001,An administrator needs to rapidly deploy a popular IT solution and start using it immediately. Where can the administrator find assistance?,AWS Well-Architected Framework documentation.,Amazon CloudFront.,AWS CodeCommit.,AWS Quick Start reference deployments.,,['d'],,,,
pe-09,002,What is one of the advantages of the Amazon Relational Database Service (Amazon RDS)?,It simplifies relational database administration tasks.,It provides 99.99999999999% reliability and durability.,It automatically scales databases for loads.,It enables users to dynamically adjust CPU and RAM resources.,,['a'],,,,
pe-09,003,Which of the following AWS Cloud services can be used to run a customer-managed relational database?,Amazon EC2.,Amazon Route 53.,Amazon ElastiCache.,Amazon DynamoDB.,,['a'],,,,
pe-09,004,A user is planning to launch two additional Amazon EC2 instances to increase availability. Which action should the user take?,Launch the instances across multiple Availability Zones in a single AWS Region.,Launch the instances as EC2 Reserved Instances in the same AWS Region and the same Availability Zone.,Launch the instances in multiple AWS Regions but in the same Availability Zone.,Launch the instances as EC2 Spot Instances in the same AWS Region but in different Availability Zones.,,['a'],,,,
pe-09,005,Which of the following can limit Amazon Simple Storage Service (Amazon S3) bucket access to specific users?,A public and private key-pair.,Amazon Inspector.,AWS Identity and Access Management (IAM) policies.,Security Groups.,,['c'],,,,
pe-09,006,Which AWS service allows companies to connect an Amazon VPC to an on-premises data center? (Select TWO),AWS VPN.,Amazon Redshift.,API Gateway.,Amazon Direct Connect.,,"['a', 'd']",,,,
pe-09,007,Which AWS service or feature can be used to monitor CPU usage?,AWS CloudTrail.,VPC Flow Logs.,Amazon CloudWatch.,AWS Config.,,['c'],,,,
pe-09,008,Which task is AWS responsible for in the shared responsibility model for security and compliance?,Granting access to individuals and services.,Encrypting data in transit.,Updating Amazon EC2 host firmware.,Updating operating systems.,,['c'],,,,
pe-09,009,Which of the following security-related actions are available at no cost?,Calling AWS Support.,Contacting AWS Professional Services to request a workshop.,"Accessing forums, blogs, and whitepapers.",Attending AWS classes at a local university.,,['c'],,,,
pe-09,010,Which storage service can be used as a low-cost option for hosting static websites?,Amazon Glacier.,Amazon DynamoDB.,Amazon Elastic File System (Amazon EFS).,Amazon Simple Storage Service (Amazon S3).,,['d'],,,,
pe-09,011,According to the AWS shared responsibility model what is the sole responsibility of AWS?,Application security.,Edge location management.,Patch management.,Client-side data.,,['b'],,,,
pe-09,012,Which of the following are pillars of the AWS Well-Architected Framework? (Select TWO),Multiple Availability Zones.,Performance efficiency.,Security.,Encryption usage.,High availability.,"['b', 'c']",,,,
pe-09,013,Which AWS service identifies security groups that allow unrestricted access to a user’s AWS resources?,AWS Trusted Advisor.,Amazon Inspector.,Amazon CloudWatch.,AWS CloudTrail.,,['a'],,,,
pe-09,014,Which design principles for cloud architecture are recommended when re-architecting a large monolithic application? (Select TWO),Use manual monitoring.,Use fixed servers.,Implement loose coupling.,Rely on individual components.,Design for scalability.,"['c', 'e']",,,,
pe-09,015,"When architecting cloud applications, which of the following are a key design principle?",Use the largest instance possible.,Provision capacity for peak load.,Use the Scrum development process.,Implement elasticity.,,['d'],,,,
pe-09,016,A company has deployed several relational databases on Amazon EC2 instances. Every month the database software vendor releases new security patches that need to be applied to the databases. What is the MOST efficient way to apply the security patches?,Connect to each database instance on a monthly basis and download and apply the necessary security patches from the vendor.,Enable automate patching for the instances using the Amazon RDS console.,In AWS Config. configure a rule for the instances and the required patch level.,Use AWS Systems Manager to automate database patching according to a schedule.,,['d'],,,,
pe-09,017,Which mechanism allows developers to access AWS services from application code?,AWS Software Development Kit.,AWS Management Console.,AWS CodePipeline.,AWS Config.,,['a'],,,,
pe-09,018,Which AWS feature will reduce the customer’s total cost of ownership (TCO)?,Shared responsibility security model.,Single tenancy.,Elastic computing.,Encryption.,,['c'],,,,
pe-09,019,Which of the following is a benefit of using the AWS Cloud?,Permissive security removes the administrative burden.,Ability to focus on revenue-generating activities.,Control over cloud network hardware.,Choice of specific cloud hardware vendors.,,['b'],,,,
pe-09,020,Which of the following are categories of AWS Trusted Advisor? (Select TWO),Fault Tolerance.,Instance Usage.,Infrastructure.,Performance.,Storage Capacity.,"['a', 'd']",,,,
pe-09,021,What is Amazon CloudWatch?,A code repository with customizable build and team commit features.,A metrics repository with customizable notification thresholds and channels.,A security configuration repository with threat analytics.,A rule repository of a web application firewall with automated vulnerability prevention features.,,['b'],,,,
pe-09,022,"Under the AWS shared responsibility model, which of the following activities are the customer’s responsibility? (Select TWO)",Patching operating system components for Amazon Relational Database Server (Amazon RDS).,Encrypting data on the client-side.,Training the data center staff.,Configuring Network Access Control Lists (ACL).,Maintaining environmental controls within a data center.,"['b', 'd']",,,,
pe-09,023,"Under the shared responsibility model, which of the following is a shared control between a customer and AWS?",Physical controls.,Patch management.,Zone security.,Data center auditing.,,['b'],,,,
pe-09,024,"Which AWS service is used to pay AWS bills, and monitor usage and budget costs?",AWS Billing and Cost Management.,Consolidated billing.,Amazon CloudWatch.,Amazon QuickSight.,,['a'],,,,
pe-09,025,How do customers benefit from Amazon’s massive economies of scale?,Periodic price reductions as the result of Amazon’s operational efficiencies.,New Amazon EC2 instance types providing the latest hardware.,The ability to scale up and down when needed.,Increased reliability in the underlying hardware of Amazon EC2 instances.,,['a'],,,,
pe-09,026,Which AWS feature allows a company to take advantage of usage tiers for services across multiple member accounts?,Service control policies (SCPs).,Consolidated billing.,All Upfront Reserved Instances.,AWS Cost Explorer.,,['b'],,,,
pe-09,027,Which AWS services provide a way to extend an on-premises architecture to the aws cloud? (Select TWO),Amazon EBS.,Amazon Connect.,AWS Storage Gateway.,Amazon CloudFront.,AWS Direct Connect.,"['c', 'e']",,,,
pe-09,028,Which of the following services will automatically scale with an expected increase in web traffic?,AWS CodePipeline.,Elastic Load Balancing.,Amazon EBS.,AWS Direct Connect.,,['b'],,,,
